Subfield	Journal	Included?		
Sociolinguistics	American Speech	TRUE		
Acquisition (L2)	Annual Review of Applied Linguistics	TRUE		
Acquisition (L2)	Applied Linguistics	TRUE		
Psycholinguistics	Cognition	TRUE		
Computational linguistics	Computational Linguistics	TRUE		
Sign Linguistics	Deaf Studies Digital Journal	TRUE		
Computational linguistics	IEEE/ACM Transactions on Audio	 Speech	 and Language Processing	TRUE
Areal linguistics	International Journal of American Linguistics	TRUE		
Acquisition (L1)	Journal of Child Language Acquisition and Development	TRUE		
Areal linguistics	Journal of Comparative Germanic Linguistics	TRUE		
Sign Linguistics	Journal of Deaf Studies and Deaf Education	TRUE		
Areal linguistics	Journal of East Asian Linguistics	TRUE		
Sign Linguistics	Journal of Interpretation (Registry of Interpreters for the Deaf)	TRUE		
General Linguistics	Journal of Linguistics	TRUE		
Psycholinguistics	Journal of Memory and Language	TRUE		
Phonetics	Journal of Phonetics	TRUE		
Semantics & Pragmatics	Journal of Pragmatics	TRUE		
Semantics & Pragmatics	Journal of Semantics	TRUE		
Areal linguistics	Journal of Slavic Linguistics	TRUE		
Sociolinguistics	Journal of Sociolinguistics			
Phonetics	Journal of Speech	 Language	 and Hearing Research	TRUE
Phonetics	Journal of the Acoustical Society of America (Speech Communication)	TRUE		
Phonetics	Journal of the International Phonetic Association	TRUE		
Phonology	Laboratory Phonology	TRUE		
General Linguistics	Language	TRUE		
Acquisition (L1)	Language Acquisition	TRUE		
General Linguistics	Language and Linguistics Compass	TRUE		
Phonetics	Language and Speech	TRUE		
Sociolinguistics	Language in Society	TRUE		
Computational linguistics	Language Resources and Evaluation	TRUE		
Sociolinguistics	Language Variation and Change	TRUE		
General Linguistics	Lingua	TRUE		
General Linguistics	Linguistic Inquiry	TRUE		
Semantics & Pragmatics	Linguistics and Philosophy	TRUE		
Morphology	Mental Lexicon	TRUE		
Morphology	Morphology	TRUE		
General Linguistics	Natural Language & Linguistic Theory	TRUE		
Computational linguistics	Natural Language Engineering	TRUE		
Semantics & Pragmatics	Natural Language Semantics	TRUE		
Areal linguistics	Oceanic Linguistics	TRUE		
Phonetics	Phonetica	TRUE		  
Phonology	Phonology	TRUE		
Areal linguistics	Probus	TRUE		
Acquisition (L2)	Reading in a Foreign Language	TRUE		
Acquisition (L2)	Second Language Research	TRUE		
Semantics & Pragmatics	Semantics and Pragmatics	TRUE		
Sign Linguistics	Sign Language and Linguistics	TRUE		
Sign Linguistics	Sign Language Studies	TRUE		
Phonetics	Speech Communication	TRUE		
Syntax	Studia Linguistica	TRUE		
Acquisition (L2)	Studies in Second Language Acquisition	TRUE		
Syntax	Syntax	TRUE		
Computational linguistics	Transactions of the Association for Computational Linguistics	TRUE		
