Journal	Volume	Issue	Article	Author(s)	Discriptive	Inferential	Modelling	No stats	Number	allMethods
American Speech	89	4	â€œI DONT CARE ONE CENT WHAT [Ã˜] GOYING ON IN GREAT BRITTENâ€: BEDELETION IN IRISH ENGLISH	Kevin McCafferty				TRUE	0	  
American Speech	89	4	BURNED, DWELLED, DREAMED: THE EVOLUTION OF A MORPHOLOGICAL AMERICANISM AND THE ROLE OF PRESCRIPTIVE GRAMMAR WRITING	Lieselotte Anderwald				TRUE	0	  
American Speech	89	4	AMONG THE NEW WORDS	Benjamin Zimmer, Jane Solomon, and Charles E. Carson				TRUE	0	  
American Speech	89	4	VARIATION IN CHICANO ENGLISH: THE CASE OF FINAL (z) DEVOICING	Robert Bayley and Cory Holland	Rbrul				1	Rbrul  
Annual Review of Applied Linguistics	35		Voice Quality and Identity	Robert J. Podesva and Patrick Callier				TRUE	0	  
Annual Review of Applied Linguistics	35		Transnationalism, Multilingualism, and Identity	Patricia A. Duff				TRUE	0	  
Annual Review of Applied Linguistics	35		Translanguaging and Identity in Educational Settings	Angela Creese and Adrian Blackledge				TRUE	0	  
Annual Review of Applied Linguistics	35		Technologies, Identities, and Expressive Activity	Steven L. Thorne, Shannon Sauro and Bryan Smith				TRUE	0	  
Annual Review of Applied Linguistics	35		Social Class in Applied Linguistics	David Block				TRUE	0	  
Annual Review of Applied Linguistics	35		Learner Identity, Learner Agency, and the Assessment of Language Proficiency: Some Reflections Prompted by the Common European Framework of Reference for Languages	David Little and Gudrun Erickson				TRUE	0	  
Annual Review of Applied Linguistics	35		Identity in Academic Discourse	John Flowerdew and Simon Ho Wang				TRUE	0	  
Annual Review of Applied Linguistics	35		Identity in Written Discourse	Paul Kei Matsuda				TRUE	0	  
Annual Review of Applied Linguistics	35		Identity and a Model of Investment in Applied Linguistics	Ron Darvin and Bonny Norton				TRUE	0	  
Annual Review of Applied Linguistics	35		Heritage Language Education and Identity in the United States	Jennifer Leeman				TRUE	0	  
Annual Review of Applied Linguistics	35		Ethnic Identity and Second Language Learning	Pavel Trofimovich and Larisa TuruÅ¡eva				TRUE	0	  
Annual Review of Applied Linguistics	35		Analyzing Language Policy and Social Identification Across Heterogeneous Scales preview	Katherine S. Mortimer and Stanton Wortham				TRUE	0	  
Annual Review of Applied Linguistics	35		(Supra)National Identity and Language: Rethinking National and European Migration Policies and the Linguistic Integration of Migrants	Ruth Wodak and Salomi Boukala				TRUE	0	  
Annual Review of Applied Linguistics	35		Unmasking Identity: Speaker Profiling for Forensic Linguistic Purposes	Natalie Schilling and Alexandria Marsters	mean				1	mean  
Applied Linguistics	36	2	â€˜So You Are from England: Categorization and Cultural Reduction in Firsttime Conversation Lounge Encounters between Foreign Teachers and Japanese Students of EFL	Marion Nao				TRUE	0	  
Applied Linguistics	36	2	Towards a Theory of Diagnosis in Second and Foreign Language Assessment: Insights from Professional Practice Across Diverse Fields	J. Charles Alderson, Tineke Brunfaut, and Luke Harding				TRUE	0	  
Applied Linguistics	36	2	The Theoretical Research Article as a Reflection of Disciplinary Practices: The Case of Pure Mathematics	Maria Kuteeva and Lisa McGrath				TRUE	0	  
Applied Linguistics	36	2	Telling Stories and Making Social Relations: Transnational Womens Ways of Belonging in Intercultural Contexts	Hakyoon Lee				TRUE	0	  
Applied Linguistics	36	2	Involvement in University Classroom Discourse: Register Variation and Interactivity	Federica Barbieri	yes, precision and recall, mean, sd,				1	yes, precision and recall, mean, sd,  
Cognition	140		The divided mind of a disbeliever: Intuitive beliefs about nature as purposefully created among different groups of nonreligious adults	Elisa JÃ¤rnefelt, Caitlin F. Canfield, Deborah Kelemen		anova, fstatistca, Varimax (orthogonal) rotation , Cronbachs alpha, principal component analysis			5	 anova, fstatistca, Varimax (orthogonal) rotation , Cronbachs alpha, principal component analysis 
Cognition	140		Semantic facilitation in bilingual first language acquisition	Samuel Bilson, Hanako Yoshida, Crystal D. Tran, Elizabeth A. Woods, Thomas T. Hills		novel model, likelihood ratio test, MLE, growth curves, regression analysis, simulation, clustering coefficient, network analysis, paired ttest, Zscores			10	 novel model, likelihood ratio test, MLE, growth curves, regression analysis, simulation, clustering coefficient, network analysis, paired ttest, Zscores 
Cognition	140		Selective memory retrieval in social groups: When silence is golden and when it is not	Magdalena Abel, KarlHeinz T. BÃ¤uml		2chi2 anova,			1	 2chi2 anova, 
